Poem,Author
"['\r\n                             That you were once unkind befriends me now,', '     And for that sorrow which I then did feel', '     Needs must I under my transgression bow,', ""     Unless my nerves were brass or hammer'd steel."", '     For if you were by my unkindness shaken', ""     As I by yours, you've pass'd a hell of time,"", '     And I, a tyrant, have no leisure taken', '     To weigh how once I suffered in your crime.', ""     O, that our night of woe might have remember'd"", '     My deepest sense, how hard true sorrow hits,', ""     And soon to you, as you to me, then tender'd"", '     The humble slave which wounded bosoms fits!', '     But that your trespass now becomes a fee;', '     Mine ransoms yours, and yours must ransom me. \r\n                        ', '\n']",Shakespeare
"['You know me by handwriting. In our kingdom jealous', ' all suspicious: signature, paper, number.', ' Even a child bored in such tchotchke;', ' it is better with dolls. So I unlearned.', ' Now, when I come across a figure of nine', ' with a question neck (more often, in morning)', ' or (midnight) couple, I remember a swan,', ' plyvuŝuû because of the scenery, and powder', ' sweat tickled the nostrils, like odor', ' recruited as a telephone number', ' or - cipher treasures. Know, Pohorje on cereals', ' and sickles, something I still saved!', ' This stuff can last long.', ' Letting better crisp bills, handrails - ladders.', ' Disdaining Shchelkovo skin, gray withers', ' general reserves far riders.', ' currently journey, Milan Amazon,', ' It begins before, What skripnula half,', ' because her lips soften the horizon,', ' traveler and have nowhere to stay.']",Brodsky
"['Snow hay zaporoshil', ' through the cracks in the ceiling.', ' I Kicked hay', ' and I met with moth.', ' Fotolog, Fotolog.', ' Himself saved from death,', ' zabravshisy hay.', ' Survived, wintered.', 'I choose and looks,', ' as a ""bat"" chadit,', ' how brightly lit.', ' log wall.', ' Bringing it to face,', ' I see its pollen', ' clearer, than fire,', ' than his own hand.', 'Among the evening haze', "" we're all alone."", ' And my fingers are warm,', ' as the June days.']",Brodsky
"[""Here's a frozen city of stone corner."", ' Geometry mourns his bowels.', ' First you hear the trio, then - Piano Negro.', ' River, although not frozen, still could not', ' run out to the ocean. Stronger tendency to zigzag', ' it is noticeable in the city, if the surrounding plain.', ' Then on the corner lights up a tree without roots.', ' river glitters, as a black piano.', 'When you walk down the street, rear sound steps.', ' This - the effect of perspective, not a murderer. for two', ' of the year, lived here, yesterday turned into tomorrow.', ' And Square, like shellac, It gives the following', ' by needle obelisk. Something happened a hundred', ' years ago, and there was a milestone.', ' milestone success. Basically, you - no one.', ' You, best case scenario, echo food.', 'Snow flies at random; speaker repeats: ""cyclone"".', ' Do not go out from the bar, do not go from the bar.', ' Avtomysh headlights crush columns', "" driving away mad, like Hannibal's elephants."", ' It smells of the desert, remembering the widow of laughter.', ' ""Baby, Do not go "",  - says Sinatra.', ' The same echo, but the record; as the silhouette of the Senate,', ' boredom, snowstorm, temperature, you.', 'Here you will face hard-boiled, here are his nest:', ' shine yolk in the shell cracked from the cold.', ' Your taxi on the road ahead is still a landau', ' with wreaths, Kate is clearly the same', ' side, that and you, as if by itself.', ' This - the perimeter effect, call margins,', ' undersized suburbs, whose dream barked', ' locomotives, wind, general fate.', 'And then - the ocean. Prostor Hluhonemoy.', ' flat area, where there are no buildings.', ' Where you do nothing, if you are a historian,', ' doctor, architect, businessman, actor', ' and, especially, echo. For space devoid of', ' of the past. Then, what he hears,  - the amount of', ' natural waves, noise unprecedented,', ' which can be muffled', 'a pipe Gabriel. Here you have a large set of', ' horizontal lines. almost Spring', ' the universe. In which winds solo', ' Parker: just another head,', ' than the archangel, if you count the snot.', ' So what is next, in the dark, keeping to the North,', ' falls and there is a seiner,', ' as the church, lost in the fields.']",Brodsky
"['\r\n                             Was it the proud full sail of his great verse,', '     Bound for the prize of all too precious you,', '     That did my ripe thoughts in my brain inhearse,', '     Making their tomb the womb wherein they grew?', '     Was it his spirit, by spirits taught to write', '     Above a mortal pitch, that struck me dead?', '     No, neither he, nor his compeers by night', '     Giving him aid, my verse astonished.', '     He, nor that affable familiar ghost', '     Which nightly gulls him with intelligence', '     As victors of my silence cannot boast;', '     I was not sick of any fear from thence:', ""     But when your countenance fill'd up his line,"", ""     Then lack'd I matter; that enfeebled mine. \r\n                        "", '\n']",Shakespeare
"['This - not blue, it is - cool color.', ' This - the color in the middle of the Atlantic', ' February. Not important, you dressed:', ' you still bare back on the ice.', 'This - not just a piece of ice, one of the ice floes,', ' but in fact objections heat.', "" She is alone in the ocean, and you're the one"", ' on it; and singing as the fall pipe mercury.', ""It's not genuine voice in the dark sore,"", ' but the finger froze to sharp, stripped gloves;', ' and drop, gleaming, floats in the zenith,', ' to look at the world from that of the retina.', 'This - not just the retina, it - brocade with a spark,', ' A new musical notation stars and stripes.', ' Floe melts, like a beam spot,', ' drifting to the wings black, where the hidden terminal.']",Brodsky
"['First mushrooms grow. Then', ' rains. Give God, anyone', ' under these rains could get wet.', 'Anyway, more than once', ' here, matt daze basement', ' coffeehouse, where purple youths', ' God knows what is expected of its beauties,', ' and male choir, taped,', ' obscene call out the name of the,', ' which no one has ever', ' under the arches will not return,  - not just', ' yet, anyway, ', 'я буду', ' sit in his corner and without longing', ' estimate, what will end it all.']",Brodsky
"['\r\n                             Thou blind fool, Love, what dost thou to mine eyes,', '     That they behold, and see not what they see?', '     They know what beauty is, see where it lies,', '     Yet what the best is take the worst to be.', '     If eyes corrupt by over-partial looks', ""     Be anchor'd in the bay where all men ride,"", ""     Why of eyes' falsehood hast thou forged hooks,"", '     Whereto the judgment of my heart is tied?', '     Why should my heart think that a several plot', ""     Which my heart knows the wide world's common place?"", '     Or mine eyes seeing this, say this is not,', '     To put fair truth upon so foul a face?', '     In things right true my heart and eyes have erred,', ""     And to this false plague are they now transferr'd. \r\n                        "", '\n']",Shakespeare
"[""Autumn - a good time, if you're not a nerd,"", ' if parquet Botvinnik looking tie shoes:', ' at the curb clearly its shade,', ' And then - the trees as the arms, the rest of the money.', 'In the sky without birds is easy to guess the winning', ' own words, such as ""I\'m sorry"", ""They are"",', ' exactly which was considered by guilt and fashion', ' on dark gray it was at the end of the weather.', 'Everything will be better, when light rain will charge,', ' because there is no longer anything to be,', ' and even envied by many, excess power', ' drunk, Memories and former mental torture.', 'Stop, moment, when a fish dies', ' in lakes, when nature gets out of the closet', ' With a sigh, crumpled thing and encircles the eye', ' a place, pobytoe mole, to darn windows.']",Brodsky
"['In space, not breathing,', ' It rushes without roads', ' another soul', ' an invisible palace.', 'And in the gloom, down below,', ' jacked vessel', ' cemetery in the woods', ' two horses driven.', 'It does not appeal,', ' it does not look.', ' Parted in bed', ' the hospital did not return.', 'Simple without longing,', ' not threatening each other,', ' when life is not the enemy,', ' of death are not friends.', 'Doubt not stop.', ' Stir in the chest', ' aspiration to equalize', ' such different ways.', 'Let them explain', ' and did not really tie,', ' let them cry out,', ' but in a whisper say,', 'that stynuschy old,', ' floating in the dark,', ' more piercing, than the cry', ' ""Hosanna"" in height.', 'since the dead', ' no angel related,', ' and our twins.', ' Since today', 'available to us,', ' option two,', ' suffering in the eye', ' hearing on immortality.']",Brodsky
"['\r\n                        Let me confess that we two must be twain,', 'Although our undivided loves are one;', 'So shall those blots that do with me remain,', 'Without thy help, by me be borne alone.', 'In our two loves there is but one respect,', 'Though in our lives a separable spite,', ""Which, though it alter not love's sole effect,"", ""Yet doth it steal sweet hours from love's delight."", 'I may not evermore acknowledge thee,', 'Lest my bewailèd guilt should do thee shame,', 'Nor thou with public kindness honour me', 'Unless thou take that honour from thy name.', '    But do not so; I love thee in such sort', '    As, thou being mine, mine is thy good report. \r\n                        ', '\n']",Shakespeare
"['It passed the winter. Spring', ' is far. In the garden', ' We have not yet emerged from the bottom', ' three peaks in the pond.', 'But too worried look', "" like a spider's thread"", ' drawn to a fellow sky', ' those, who had time to rot.', ""There's heaven convoy"", ' in the dark zone alleys', ' I filled all blue', ' but two bullfinches.', ' 1960']",Brodsky
"['\r\n                             Like as, to make our appetites more keen,', '     With eager compounds we our palate urge,', '     As, to prevent our maladies unseen,', '     We sicken to shun sickness when we purge,', ""     Even so, being tuff of your ne'er-cloying sweetness,"", '     To bitter sauces did I frame my feeding', '     And, sick of welfare, found a kind of meetness', '     To be diseased ere that there was true needing.', '     Thus policy in love, to anticipate', '     The ills that were not, grew to faults assured', '     And brought to medicine a healthful state', '     Which, rank of goodness, would by ill be cured:', '     But thence I learn, and find the lesson true,', '     Drugs poison him that so fell sick of you. \r\n                        ', '\n']",Shakespeare
"['During dinner, he got up from the table', ' and I went out. The moon shone', ' wintry, and the shadow of a bush,', ' overcoming curls fence,', ' so clearly blackened snow,', ' as they put down roots here.', ' Palpitation, not a soul around.', 'So great is the desire of all', ' living overcome boundaries,', ' spread high and wide,', ' what, one has only to look out the luminary,', ' what neither is, and at the same moment', ' vicinity become prey', ' not ourselves, but our aspirations.']",Brodsky
"['It has been heated oven. The fire trembled in the darkness.', ' ', 'Древесные угли чуть-чуть искрились', '.', ' ', 'Но мысли о зиме', ', ', 'о всей зиме', ',', ' ', 'каким-то странным образом роились', '.', ' ', 'Какой печалью нужно обладать', ',', ' ', 'чтоб вместо парка', ', ', 'что за три квартала', ',', ' ', 'пейзаж неясный долго вспоминать', ',', ' ', 'но знать', ', ', 'что больше нет его', '; It did not become.', ' Yes, ', 'понимать', ', ', 'что все пришло к концу', ' ', 'тому назад едва ль не за два века', ', –', ' ', 'но мыслями блуждать в ночном лесу', ' ', 'и все не слышать стука дровосека', '.', ' stand trunks, ', 'стоят кусты в ночи', '.', ' ', 'Вдали холмы лежат во тьме угрюмо', '.', ' The moon lit, ', 'как весь огонь в печи', ',', ' ', 'и жжет стволы', '. ', 'Но только нет в ней шума', '.']",Brodsky
"['No, not posetuet Muza,', ' if an ordinary melody,', ' sound, Indifferent to taste,', ' with elegant lira slips.', ' Pretty, sadness will not give,', ' confusing back and front,', ' song, how to dress for growth,', ' Hearing try on space.', 'the truth because: neither spin,', ' sincerity, restraint, flour,', ' - something, born in the heart,', ' heart knocking louder.', ' With this success', ' wind - and he did not argue;', ' distant mountains and echo', ' repeat every word.', 'That raises the singer', ' voice - for a while, for a moment,', ' screaming drowns out his', ' own horror of oblivion.', ' exhalations often, than breaths,', ' for inhales, in fact,', ' more, than-air era:', ' something, that roams in the vessel.', 'Here, Prosody in the craft,', ' in competitions at a distance', ' running, - raging hypocrisy,', ' because it tells the naturalness', ' the, from what could not escape, –', ' views, similar drills,', ' please be true, heart', ' He is living in fear in front of the throat.']",Brodsky
"[""\r\n                        My mistress' eyes are nothing like the sun;"", ""Coral is far more red than her lips' red;"", 'If snow be white, why then her breasts are dun;', 'If hairs be wires, black wires grow on her head.', 'I have seen roses damasked, red and white,', 'But no such roses see I in her cheeks,', 'And in some perfumes is there more delight', 'Than in the breath that from my mistress reeks.', 'I love to hear her speak, yet well I know,', 'That music hath a far more pleasing sound.', 'I grant I never saw a goddess go;', 'My mistress when she walks treads on the ground.', '    And yet, by heaven, I think my love as rare', '    As any she belied with false compare. \r\n                        ', '\n']",Shakespeare
"['""Work, Work, Work…»', ' BUT. Block', '""Do not sleep, do not sleep, Work…»', ' B. Parsnip', 'Look: saving efforts,', ' under the gaze of white masters,', ' Vasiliev worked as a turner,', ' Petrov worked as a mechanic.', 'And in the gloomy house opposite', ' account director stirs,', ' shoemaker burns at work,', ' accepter carbon paper rustles.', 'Janitor wielding a shovel,', ' and pilot buzzing in height,', ' poet, as if to blame,', ' composes a poem about work.', 'ABOUT, How we are working! like', ' one working family.', ' Works Masha,', ' next to her work I.', ' Work in each booth,', ' running in each window.', 'One does not work Brodsky,', ' more I like him.']",Brodsky
"[""\r\n                        Fear no more the heat o' the sun; "", ""Nor the furious winter's rages, "", 'Thou thy worldly task hast done, ', ""Home art gone, and ta'en thy wages; "", 'Golden lads and girls all must, ', 'As chimney sweepers come to dust. ', 'Fear no more the frown of the great, ', ""Thou art past the tyrant's stroke: "", 'Care no more to clothe and eat; ', 'To thee the reed is as the oak: ', 'The sceptre, learning, physic, must ', 'All follow this, and come to dust. ', 'Fear no more the lightning-flash, ', 'Nor the all-dread thunder-stone; ', 'Fear not slander, censure rash; ', 'Thou hast finished joy and moan; ', 'All lovers young, all lovers must ', 'Consign to thee, and come to dust. ', 'No exorciser harm thee! ', 'Nor no witchcraft charm thee! ', 'Ghost unlaid forbear thee! ', 'Nothing ill come near thee! ', 'Quiet consummation have; ', 'And renowned be thy grave! \r\n                        ', '\n']",Shakespeare
"['\r\n                            What is your substance, whereof are you made,', '    That millions of strange shadows on you tend?', '    Since everyone hath, everyone, one shade,', '    And you, but one, can every shadow lend.', '    Describe Adonis, and the counterfeit', '    Is poorly imitated after you;', ""    On Helen's cheek all art of beauty set,"", '    And you in Grecian tires are painted new.', '    Speak of the spring and foison of the year,', '  The one doth shadow of your beauty show,', '  The other as your bounty doth appear;', '  And you in every blessed shape we know.', '  In all external grace you have some part,', '  But you like none, none you, for constant heart. \r\n                        ', '\n']",Shakespeare
"[""Not that I'm going crazy, but tired of the summer."", ' Shirt in the locker polezesh, and the day is lost.', ' hurry to, whether, winter came and brought it all –', ' cities, men, but to begin with - Green.', ' I will not sleep undressed or read any', "" place someone else's book, meanwhile, the remnants of,"", ' like a dog, escaped from the blind,', ' move in the right place asphalt.', ' Freedom –', "" It is when you forget the tyrant's middle name,"", ' and the saliva in the mouth sweeter halva Shiraz,', ' and, although your brain twisted, like the horn of a ram,', ' Nothing drips of blue eyes.']",Brodsky
"['Fish live in winter.', ' Fish chew oxygen.', ' Fish swim in the winter,', ' Touching eyes ice', ' There.', ' where are deeper.', ' Where is the sea.', ' Fish.', ' Fish.', ' Fish.', ' Fish swim in the winter.', ' Pisces wants to swim.', ' Fish swim without light.', ' Under the sun', ' winter and unsteady.', ' Fish swim from death', ' Eternal by fish.', ' Fish do not shed tears:', ' Resting his head in clumps,', ' Cold water', ' freeze', ' cold eyes', ' Fish.', ' Pisces always', ' silent,', ' For they - silent,', ' For they - silent.', ' Verses about fish,', ' like a fish,', ' Get up in the throat.']",Brodsky
"['\r\n                             Take all my loves, my love, yea, take them all;', '     What hast thou then more than thou hadst before?', '     No love, my love, that thou mayst true love call;', '     All mine was thine before thou hadst this more.', '     Then if for my love thou my love receivest,', '     I cannot blame thee for my love thou usest;', '     But yet be blamed, if thou thyself deceivest', '     By wilful taste of what thyself refusest.', '     I do forgive thy robbery, gentle thief,', '     Although thou steal thee all my poverty;', '     And yet, love knows, it is a greater grief', ""     To bear love's wrong than hate's known injury."", '     Lascivious grace, in whom all ill well shows,', '     Kill me with spites; yet we must not be foes. \r\n                        ', '\n']",Shakespeare
"['\r\n                             When most I wink, then do mine eyes best see,', '     For all the day they view things unrespected;', '     But when I sleep, in dreams they look on thee,', '     And darkly bright are bright in dark directed.', '     Then thou, whose shadow shadows doth make bright,', ""     How would thy shadow's form form happy show"", '     To the clear day with thy much clearer light,', '     When to unseeing eyes thy shade shines so!', '     How would, I say, mine eyes be blessed made', '     By looking on thee in the living day,', '     When in dead night thy fair imperfect shade', '     Through heavy sleep on sightless eyes doth stay!', '     All days are nights to see till I see thee,', '     And nights bright days when dreams do show thee me. \r\n                        ', '\n']",Shakespeare
"['Have you forgotten village, lost in the swamps', ' forested province, where scarecrows in their gardens', ' he has never kept - not those where cereals,', ' and expensive, too, but all the causeway gullies.', ' Baba Nastya, podi, dead, Pesterev alive and hardly,', ' but as alive, drunk sitting in the basement,', ' or gets on the back of our bed something,', ' they say, wicket, not the gate.', ' In winter, there is chopping wood and sit on turnips,', ' and the star blink of smoke in the frosty sky.', ' And not in calico in bride window, dust and holiday', ' but the empty space, where we loved.']",Brodsky
"['ABOUT, clouds', ' Baltic summer!', ' Better than you in this world', ' I have not seen yet.', 'Can, and he', ' you life club', ' - horse or knight,', ' at least - the holy.', 'only the Lord', ' you see from the inside –', ' exactly from Nanki', ' loose flesh.', ""That's the same I,"", ' strong fears,', ' I see in you an impression', ' with the non-existence,', 'to another life.', ' Way of granite,', ' of the famous', ' small waves', 'sea \u200b\u200bkeeping,', ' You - a statue', ' being', ' without foreign.', 'Hill or Temple,', "" Tolstoy's profile,"", ' Rome, idle', ' logs hlam,', 'melting wax,', ' old Vienna,', ' simultaneously', ' iceberg and mozg,', 'Eden Full Face –', ' brother, but the wind', ' no geometer', ' in the world for you!', 'To you, cumulus,', ' peristыh, fugitive,', ' joy settled', ' and nomadic.', 'As you clear to me', ' effect are adjusted, incoherence,', ' sum and difference', ' say i dream.', 'It is up to you', ' I learned', ' I believe not in the number of –', ' a clean waiver', 'of righteousness', ' weights and measures', ' in favor of chimeras', ' and lepota!', 'Wami soluble', ' Isle, whose way', ' more, than the globe,', ' close two of.', 'your palaces –', ' happiness terrain', ' plus autocracy', ' creators of the heart.', 'foamy cascade', ' Angelov, ballroom', ' dresses, starch', ' barricades collapse,', 'marriage moth', ' and the Himalayas,', ' Alps, Razgulyaev –', ' about, clouds,', 'in a sensitive sin', ' sky tie', ' Baltic - someone out there,', ' there, upstairs,', 'heed the call', ' your abode?', ' Who your builder,', ' who is your Sisyphus?', ""Who's there, outside,"", ' giving you guises,', ' the sound of the majesty', ' deducted, woman', 'always wonder', ' your silent.', ' Wholesale, apiece', ' your flocks', 'move without', ' noise, in games', ' move, selecting', ' those, who disappeared', 'In the mountainous wilderness', ' instead limit.', ' You - lighter body,', ' easier soul.']",Brodsky
"['The train from point A, flowing from the pipe', ' tunnel, It coincides with the buzz in the widely spread out,', ' in which wrinkles ran, leaving foreheads,', ' and those of cumulus crowd huddled together in a turban of the Prophet.', "" You'll meet me at the station, pushing body,"", ' Brown and the local garbage will my summer resident.', ' But even the moon does not recognize, what are we doing,', ' looking out the window, exactly at the end of Taskbook.', ' We - on the excavation of the future, the striker is the key,', ' that is, life without us, already exported overseas', ' sweaty due to Morse code and wherein the semaphore', ' buff, in memory of a bit of marble.', ' And if we in the crowd, a thousand years later,', ' hail theirs Watch, hear us flat-footed,', ' we count the dead, under the heel crunching:', ' preferring to copy script of emptiness.']",Brodsky
"['Recoiling autumn leaves in the nest.', ' Here in the autumn leaves,', ' heat knock,', ' Splash of branches, knock through the day,', ' air through.', ' Wrapped the body leaves', ' birds are hot.', ' Here, rain dawn mows.', "" Someone else's death, her words, the longbow, sand"", ' great rivers, you say, Yes, fall, night carries.', ' Deploying them obliquely, the autumn trees, their nests - wet side, where the dawn again', ' It comes from unpaved airfields', ' past years. By Yakutia those years turned face:', ' Yes, twice a shiver to death', ' your friends, your friends, from nests', ' quietly dropped , they shiver.', ' Here at dawn', ' Here, too, shudder. You touch the trunk.', ' here oppression', ' their nests, socket, jack - sound of the dead', ' On the warm grass. You are here no more,', ' There is none of them.', ' The dry sheet Curling, the mhe istlevšem', ' Now, in the forest alone trail. ABOUT, socket, jack black', ' Nest without birds, nest for the last time,', ' So bad your light. With every passing day fewer and fewer,', ' here, ahead, look, less we.', ' Autumn light recoiling these jacks.', ' The last time shagnesh to batten down the bridge.', ' Look: circle trunks.', "" Go, until it's not too late,"", ' Hearing the cry of the nests, I hear the cry of the nests.']",Brodsky
"[""\r\n                        When in disgrace with fortune and men's eyes,"", 'I all alone beweep my outcast state,', 'And trouble deaf heaven with my bootless cries,', 'And look upon myself and curse my fate,', 'wishing me like to one more rich in hope,', 'Featured like him, like him with friends possessed,', ""Desiring this man's art, and that man's scope,"", 'With what I most enjoy contented least;', 'Yet in these thoughts myself almost despising,', 'Haply I think on thee--and then my state,', 'Like to the lark at break of day arising', ""From sullen earth sings hymns at heaven's gate;"", 'For thy sweet love remembered such wealth brings,', 'That then I scorn to change my state with kings. \r\n                        ', '\n']",Shakespeare
"['BUT. Boers - tractor - and I,', ' farm worker Brodsky,', ' we sowed winter - six hectares.', ' I contemplated the wooded edge', ' and the sky with a jet strip,', ' and my boots touched the lever.', 'Corn puffs under harrow,', ' and the engine was read neighborhood.', ' Pilot between clouds twisted his handwriting.', ' Face in the field, to back movement,', ' I adorned a seyalku,', ' powdery zemlitsy Mozart.']",Brodsky
"['Wind left the forest', ' and took off to the skies,', ' pushing clouds', ' in the white ceiling.', 'AND, How cold death,', ' Grove stands alone,', ' without seeking vosled,', ' no distinguishing marks.']",Brodsky
"['\r\n                             O, for my sake do you with Fortune chide,', '     The guilty goddess of my harmful deeds,', '     That did not better for my life provide', '     Than public means which public manners breeds.', '     Thence comes it that my name receives a brand,', '     And almost thence my nature is subdued', ""     To what it works in, like the dyer's hand:"", ""     Pity me then and wish I were renew'd;"", '     Whilst, like a willing patient, I will drink', ""     Potions of eisel 'gainst my strong infection"", '     No bitterness that I will bitter think,', '     Nor double penance, to correct correction.', '     Pity me then, dear friend, and I assure ye', '     Even that your pity is enough to cure me. \r\n                        ', '\n']",Shakespeare
"['The ruins have oxygen holiday', ' and time. newest Archimedes', ' could add to the old law,', ' that the body, placed in the space,', ' space is displaced.', ' water', ' Lots in the mirror of gloomy ruins', ' Palace of the Elector; and, I suppose, Now', ' prophecies of the river he no longer hears,', ' than those arrogant days,', ' when the Elector his otgrohal.', ' Someone', ' wandering among the ruins, vorosha', ' Lath zaproshlohodnyuyu. Then - the wind,', ' like the prodigal son, He returned to the fold', ' and immediately I got all the letters.']",Brodsky
